comment_id,author_id,author_name,comment,likes,replies,comment_polarity,comment_subjectivity,sentiment_cat
Ugx1QvNc46yn5MLopMx4AaABAg,UCNAtJ28y8iG62dlPp1GNUSg,@nicolasmaldonado1428,"You were very careful to point out that the energy that comes out was twice the energy put in by the laser. But totally forgot to mention the efficiency of the laser itself, which I think is something around 10%. This is why it doesn't work right now. It stills needs to produce 10x more energy than the laser to break even the electric input, and this is not even counting the efficiency of the electric grid. We are not even close. It's a goal worth pursuing but it's very disingenuous to picture it like this. 

We are going to learn a lot during this process which is by itself a worthy goal, but I don't see fusion as a viable energy source. All this money should be going to geothermal research.",22,10,0.21272108843537413,0.5979591836734693,Positive
UgwCw66lcoYHrzIcqQV4AaABAg,UCxPlOYLsjwfFcxPIPg1JAfw,@ragingrhino333,I swear every second movie in the 90’s mentioned this and It didn’t happen. Here it is again….,14,2,0.0,0.0,Moderate
Ugy3qr2SzjCZQv3pD-F4AaABAg,UCklcOwx9Qw-rMLhhsOZ1QVQ,@travisleith1146,I missed the part where she explains how to extract heat from a miniature thermonuclear explosion and turn it into work.,12,1,0.0,0.0,Moderate
UgyRorwzo82sdEHTgA14AaABAg,UCcIOKtHN1KM_4FegJ-_JpSA,@clbcl5,May the Force be with you.,11,1,0.0,0.0,Moderate
UgyQpW-dET9tTuDsDz14AaABAg,UC4BwhBkc0YiGWWHjuRiHYBQ,@julesvandijck5022,"In theory this sounds perfect, but in practice there are many downsides, like safety, costs and scalibility. This technology will only be implemented on a large scale in 30-40 years, and in that period the world must already be energy neutral. Also, the costs/kwh are 3-4x higher than of solar and wind, which are easily scalable and intergratable in the current energy grid.

It was just announced that Europe generated more electricity using wind and solar compared with fossil fuels, and this only seems to grow exponentially. I believe focusing on wind and solar will provide for most of our energy needs in the future. The only thing we need to fix is their intermittency through the use of batteries. This technology is also growing rapidly, and I believe in 5-10 years there will be cheap batteries on the market, enough to convince households to invest in such batteries, in turn reducing the problems of intermittency.",10,4,0.25317460317460316,0.6324603174603175,Positive
UgwZsqNkZcn5G4QES0Z4AaABAg,UC3aHeAWNh2_6AvpCkAPsFcw,@shuttles69,"Very interesting, along way to go, but I believe it's the way.",8,0,0.65,0.65,Very Positive
UgxipG9tnPwNpnAnGLd4AaABAg,UCN71o26HRqgbW4jyHrKbd6w,@bpolat,Excellent progress. Thank you for sharing.,7,1,1.0,1.0,Very Positive
Ugwjf-7a-OZWM5DAdtN4AaABAg,UCrQdoLLdZNSxopmGlEXIJOQ,@darkmagus1134,This is great and I can't wait to see it come to the public.  I just worry about the current energy companies getting in the way of progress like this.,7,3,0.26666666666666666,0.4055555555555556,Positive
UgzVZ6r0NWlPST-XGG14AaABAg,UCRdJElG8dq2ik071isJeViw,@bartroberts1514,"2024 marks the 42nd anniversary of my involvement in a laser-initiated fusion research project, and is also the 90th anniversary of laboratory fusion, by Rutherford and Oliphant. This TED talk is saying exactly what my project team was discussing over four decades ago, with zero actual progress toward practical commercial fusion electricity generation.

Optimum fusion reactions require 1:1 D-T ratio to reduce initiation temperature to 100 million K, and pressures of only 10 atmospheres; this produces 17.6 MeV raw power (~14.1:3.5 neutron:alpha particle), or ~2.8 x 10^-12J. 

Each D-T pair requires in excess of 10^-9 J to produce from water and Lithium, including mining and transportation (almost all of that on the Tritium side). 

Now, in case you're not good at engineering math, that means it takes almost three thousand times as much energy to fuel each fusion reaction as you get out of the reaction. The energy created eclipses -- if done right -- the 100 million K and 10 atmosphere initiation condition, but not by so much that containment is lost. Why does this matter? Because researchers hope somehow to get conditions that sustain H-H fusion or some combination of other fusions that make closer to 100% of available atoms give up their energy in the contained reaction. That would be great. It is also nothing anyone knows how to do, or has the least empirical evidence can be done. All available theory and evidence suggests it's impossible.

And that's before the capture efficiency of about 6:1 and the energy it takes to create the 100 million K and 10 atmospheres of pressure. 

Sure, a cunning Physicist could then use the reaction for D-D fusion by some kind of bootstrapping, in which case almost 100 times as much energy could theoretically be gotten out per atom as goes into the fuel, but that rapidly reduces to net energy deficit, too. You have to get virtually every atom involved fused. You have to do it without higher containment or sustainment energy costs. You have to convert that heat from fusion into electricity. And if the flame goes out, you have to restart it. We have the solutions to none of these problems.

Commercial electric production by fusion under the conditions we have on Earth will never be feasible. We've known this for nine decades.",6,0,0.12853113553113554,0.4384456654456655,Moderate
UgwvHXpN9P5vgxpZceh4AaABAg,UCzTi26ORgHRgpkLEKx0Mglg,@SeanLumly,"I think fusion is critical, and will be transformative in enabling new expressions in developed society. Yes. 100%.

However our current problems are those with the allocation of resources, not the requirement of MORE energy.

For example, desalination is talked about, not because of direct human consumption, or industry, but the demands of animal agriculture. And yes, this can be alleviated by desalination, but not the ravaging, downstream effects of animal agriculture (eg. deforestation, carbon release, etc).

Not so ironically, today's problems are already trivially solvable, but the capitalist class are making money with the status quo and show little motivation to change.

Another example: most energy needed is for heating, and it's not close. Dig holes. Shallow geothermal has been known for 100 years, is virtually free (after installation -- which itself can be optimized) and can be deployed anywhere. But we're hooked on oil. Similar can be said about transportation, cars being particularly inefficient, dangerous, loud, expensive, and require exorbitant land use. We have solutions for that too, and have had for well over 100 years.",4,0,0.05189393939393943,0.5404634581105169,Moderate
UgzJQfeiejGAYOCbDNJ4AaABAg,UCUudxIVwHHnNqfrKwYN2RCA,@skipperdabio,Sharks with frickin laser beams on top of their heads!!,4,0,0.78125,0.5,Very Positive
UgzAX8a5jVB9Y_IYZX94AaABAg,UCBwPtxJvFmV8EquADi6hamQ,@lindageary175,Sounds dangerous,4,0,-0.6,0.9,very Negative
Ugw3hkYSSckNp1lsro94AaABAg,UC4V2I5mXtRq_QVfCFFc--LA,@TheNickoslicK,"I am sceptical about Fusion creating unlimited FREE energy, in a Capitalism based society. Someone is going to want to profit or at least claw back the cost of research and advancement. This is extremely sad to me as it could have untold benefits for humanity, end to wars, end to poverty, end to reliance on the carbon economy and all the environmental benefits. The Future hangs in the balance, but it is weighted towards Capitalism :(",4,1,-0.19166666666666665,0.5541666666666667,Moderate
UgwNtKBYMQDUMW222p14AaABAg,UCMQbIGP5d_9vVOTRQIpe6pQ,@TheSateef,"they didn't get more energy out than they put in,  they are only counting the laser power hitting the target. if you count the energy required to create the laser pulse they got way less than 1% back. also each fuel pellet costs hundreds of thousands of dollars to make and produces enough energy to make a pot of coffee",4,0,0.06666666666666668,0.4133333333333333,Moderate
UgxJ-gFCnfMqNv1OLaF4AaABAg,UCTv607CsVin0UKnH9K-7Urw,@adityaradisty5542,tammy stark,3,0,-0.2,0.6,Negative
UgwQ75GccYacfcwpfRl4AaABAg,UC-4-zsxAPhkL524L6ZLjzJw,@brahimaithadi,So inspiring and so optemistic  speach .. thank youuu,3,0,0.5,1.0,Positive
UgwOO7OCruSzOaTd4Nt4AaABAg,UCGCVsI5OsQ9E9s5Craf-knQ,@hahtos,"Sure, maybe in 200 years",3,0,0.5,0.8888888888888888,Positive
UgzDjN7JOAq8zmFe5Op4AaABAg,UCRLUMm-CURaxKBaeeKLcN4g,@award8296,WHO'S EXCITED FOR ZERO-POINT GRAVITY?!,3,0,0.46875,0.75,Positive
UgzLf8irlTbwP2XlXyx4AaABAg,UCMQbIGP5d_9vVOTRQIpe6pQ,@TheSateef,"good news, fusion is now only 30 years away! actually it's already here now, its called solar panels.",2,0,0.2333333333333333,0.5666666666666668,Positive
UgyEhVPJcYstCh5vx4t4AaABAg,UCRdn2rbvjiIWrArBiT4RaDw,@user-vv4lu9jb1j,"If I had a say in this, it would be = Do it in space, do it on the moon, do it underwater..... Until you can do it safely, leave home alone.",2,2,0.5,0.5,Positive
UgywwxGHtuc59k45fW94AaABAg,UC4IYOUwy8RaVmo4PLyUzUMQ,@familyzhou341,"This is really cool. I actually had a speaker just a week ago at my summer program who works in the same field, and he was talking about how this team achieved fusion. This is definitely an interesting field for the future.",2,0,0.16999999999999998,0.3,Moderate
Ugwz8wPC3t-SLbZOsW94AaABAg,UCr0mi56VvMNWzdVkikb-0uA,@davidw.1734,I can not wait until the world has this technology.,2,0,0.0,0.0,Moderate
Ugx4iIZNFVV0qC2nANh4AaABAg,UCtj6IX-W9uT5V9ApMD6w0xQ,@adrianrees2941,Awesome news!!,2,0,1.0,1.0,Very Positive
UgxGOHLJxrGYBxAb8Pp4AaABAg,UCfaTsto_TB4xImWIggKpWmw,@sarthakjaniPC,Excellent!!,2,0,1.0,1.0,Very Positive
UgxzLhT6jpS2L-MN6w54AaABAg,UCYG_x8peWHWcgyhT7t2qVKQ,@darkstormgames,This is mind blowing,2,0,0.0,0.0,Moderate
UgxErzhbqZhYmY29yMp4AaABAg,UC95lWR_KGvyAp2aPp9lMQGQ,@venepskeuten9206,I dont want to set the woorld on fiiire,2,0,0.0,0.0,Moderate
UgzMtkWEORdNJQY1PBt4AaABAg,UCOhaiZhcZOklwGzD8OUhAMg,@dineshdasari7042,What if that size of an eraser where all  beams mingle gets damaged that will kill more people than more energy,2,0,0.5,0.5,Positive
Ugz-hPuzK8U-hANjCTd4AaABAg,UC7SaKgZaLtlrV1SokcCSI9A,@alberteinsteinthejew,So this is where Iron Man got his energy,2,1,0.0,0.0,Moderate
UgxcSqvODU-bEUavy9x4AaABAg,UCXjRsWnkaHiQqHBMkDrkR6A,@elenak8000,"Человечество всегда решало и решает все задачи, которые ставит перед ним Время. 
Значит время пришло.",2,0,0.0,0.0,Moderate
UgxzCRQyonuVteFGtg14AaABAg,UCqg-Suh2VLwIDoiGXabeGGA,@RadicalTrivia,🎼I don't want to set the world on fire 🎶,2,0,0.0,0.0,Moderate
Ugzna_B_RdDyk2s1VDR4AaABAg,UC0tlaTo5a6EB1RDJgVS0r8A,@WeylandLabs,A Thorium reactor would be if we could fix the corrosion problem.,2,0,0.0,0.0,Moderate
Ugwfp5dTu-7UyiReWXh4AaABAg,UCM20jRf2HnARVH608PHyp5A,@martianhaze9750,"""the power of the sun in the palm of my hand"" iykyk",2,0,0.0,0.0,Moderate
UgxDZ5ya6hP3KA1wbn14AaABAg,UCCiUaA1FQheU4KZPs9Tfm1Q,@linkingtheworld6561,Delivering more energy than it was needed to generate it? Really impressive 😮,1,0,0.75,0.75,Very Positive
